CONNECTION,TOTAL,ipV4,ipV6,TCP,UDP,ARP,ICMP,IGMP,CAST,INTERNAL,DOMESTIC,FOREIGN,HOSTILE
2606:4700:20::681a:293-->>2603:6080:ce03:b91a:cd66:ff8a:22a3:974b,21,0,21,21,0,0,0,0,0,0,21,0,0
2603:6080:ce03:b91a:cd66:ff8a:22a3:974b-->>2606:4700:20::681a:293,15,0,15,15,0,0,0,0,0,0,15,0,0
192.168.1.5-->>44.238.41.205,4,4,0,4,0,0,0,0,0,3,4,0,0
2606:4700::6810:a723-->>2603:6080:ce03:b91a:cd66:ff8a:22a3:974b,1,0,1,1,0,0,0,0,0,0,1,0,0
192.168.1.3-->>162.125.8.20,1,1,0,1,0,0,0,0,0,0,1,0,0
23.111.9.35-->>192.168.1.5,1,1,0,1,0,0,0,0,0,0,1,0,0
148.69.64.109-->>192.168.1.5,3,3,0,3,0,0,0,0,0,2,0,3,0
35.190.90.202-->>192.168.1.5,5,5,0,5,0,0,0,0,0,4,5,0,0
151.101.129.44-->>192.168.1.5,4,4,0,4,0,0,0,0,0,3,4,0,0
2620:100:a001::c-->>2603:6080:ce03:b91a:cd66:ff8a:22a3:974b,15,0,15,15,0,0,0,0,0,0,15,0,0
185.235.85.55-->>192.168.1.5,7,7,0,7,0,0,0,0,0,6,7,0,0
192.168.1.5-->>185.235.85.156,7,7,0,7,0,0,0,0,0,6,7,0,0
2607:f8b0:4004:810::2001-->>2603:6080:ce03:b91a:cd66:ff8a:22a3:974b,5,0,5,5,0,0,0,0,0,0,5,0,0
2603:6080:ce03:b91a:cd66:ff8a:22a3:974b-->>2607:f8b0:4004:809::2002,3,0,3,3,0,0,0,0,0,0,3,0,0
74.119.119.149-->>192.168.1.5,16,16,0,16,0,0,0,0,0,15,16,0,0
2603:6080:ce03:b91a:cd66:ff8a:22a3:974b-->>2607:f8b0:4004:801::2002,1,0,1,1,0,0,0,0,0,0,1,0,0
2a03:2880:f003:c14:face:b00c:0:1823-->>2603:6080:ce03:b91a:cd66:ff8a:22a3:974b,4,0,4,4,0,0,0,0,0,0,4,0,0
2603:6080:ce03:b91a:cd66:ff8a:22a3:974b-->>2a03:2880:f003:c14:face:b00c:0:1823,7,0,7,7,0,0,0,0,0,0,7,0,0
212.48.74.80-->>192.168.1.5,3,3,0,3,0,0,0,0,0,2,0,3,0
91.109.13.236-->>192.168.1.5,29,29,0,29,0,0,0,0,0,28,0,29,0
192.168.1.5-->>91.109.13.236,10,10,0,10,0,0,0,0,0,9,0,10,0
192.168.1.5-->>35.190.90.202,1,1,0,1,0,0,0,0,0,0,1,0,0
18.206.109.10-->>192.168.1.5,2,2,0,2,0,0,0,0,0,1,2,0,0
192.168.1.5-->>34.236.239.38,4,4,0,4,0,0,0,0,0,3,4,0,0
2607:f8b0:4004:82a::200e-->>2603:6080:ce03:b91a:cd66:ff8a:22a3:974b,2,0,2,2,0,0,0,0,0,0,2,0,0
2600:1408:5c00:3a3::1ec4-->>2603:6080:ce03:b91a:cd66:ff8a:22a3:974b,1,0,1,1,0,0,0,0,0,0,1,0,0
2603:6080:ce03:b91a:cd66:ff8a:22a3:974b-->>2607:f8b0:4002:30::c,1,0,1,1,0,0,0,0,0,0,1,0,0
185.235.85.156-->>192.168.1.5,5,5,0,5,0,0,0,0,0,4,5,0,0
74.119.119.139-->>192.168.1.5,12,12,0,12,0,0,0,0,0,11,12,0,0
192.168.1.5-->>74.119.119.139,15,15,0,15,0,0,0,0,0,14,15,0,0
2603:6080:ce03:b91a:cd66:ff8a:22a3:974b-->>2620:100:a001::c,17,0,17,17,0,0,0,0,0,0,17,0,0
192.168.1.5-->>74.119.119.149,21,21,0,21,0,0,0,0,0,20,21,0,0
192.168.1.5-->>204.154.111.144,16,16,0,16,0,0,0,0,0,15,16,0,0
192.168.1.5-->>204.154.111.113,17,17,0,17,0,0,0,0,0,16,17,0,0
204.154.111.113-->>192.168.1.5,10,10,0,10,0,0,0,0,0,9,10,0,0
2603:6080:ce03:b91a:cd66:ff8a:22a3:974b-->>2600:1408:5c00:390::4469,9,0,9,9,0,0,0,0,0,0,9,0,0
2600:1408:5c00:390::4469-->>2603:6080:ce03:b91a:cd66:ff8a:22a3:974b,7,0,7,7,0,0,0,0,0,0,7,0,0
204.154.111.143-->>192.168.1.5,1,1,0,1,0,0,0,0,0,0,1,0,0
192.168.1.5-->>52.85.134.61,6,6,0,6,0,0,0,0,0,5,6,0,0
52.85.134.61-->>192.168.1.5,5,5,0,5,0,0,0,0,0,4,5,0,0
23.62.230.163-->>192.168.1.5,5,5,0,5,0,0,0,0,0,4,5,0,0
2603:6080:ce03:b91a:cd66:ff8a:22a3:974b-->>2600:1408:5400:4::170c:9047,20,0,20,20,0,0,0,0,0,0,20,0,0
2600:1408:5400:4::170c:9047-->>2603:6080:ce03:b91a:cd66:ff8a:22a3:974b,13,0,13,13,0,0,0,0,0,0,13,0,0
204.154.111.144-->>192.168.1.5,9,9,0,9,0,0,0,0,0,8,9,0,0
2603:6080:ce03:b91a:cd66:ff8a:22a3:974b-->>2607:f8b0:4004:802::2003,2,0,2,2,0,0,0,0,0,0,2,0,0
2603:6080:ce03:b91a:cd66:ff8a:22a3:974b-->>2600:1408:5c00:39e::4469,10,0,10,10,0,0,0,0,0,0,10,0,0
2600:1408:5c00:39e::4469-->>2603:6080:ce03:b91a:cd66:ff8a:22a3:974b,10,0,10,10,0,0,0,0,0,0,10,0,0
2603:6080:ce03:b91a:cd66:ff8a:22a3:974b-->>2607:f8b0:4004:80a::2002,10,0,10,10,0,0,0,0,0,0,10,0,0
192.168.1.5-->>172.217.2.98,12,12,0,12,0,0,0,0,0,11,0,0,0
172.217.2.98-->>192.168.1.5,10,10,0,10,0,0,0,0,0,9,0,0,0
2607:f8b0:4004:80a::2002-->>2603:6080:ce03:b91a:cd66:ff8a:22a3:974b,19,0,19,19,0,0,0,0,0,0,19,0,0
2603:6080:ce03:b91a:cd66:ff8a:22a3:974b-->>2607:f8b0:4004:80a::2008,2,0,2,2,0,0,0,0,0,0,2,0,0
2603:6080:ce03:b91a:cd66:ff8a:22a3:974b-->>2607:f8b0:4004:82a::2001,2,0,2,2,0,0,0,0,0,0,2,0,0
2607:f8b0:4004:82a::2001-->>2603:6080:ce03:b91a:cd66:ff8a:22a3:974b,2,0,2,2,0,0,0,0,0,0,2,0,0
2607:f8b0:4004:80a::2008-->>2603:6080:ce03:b91a:cd66:ff8a:22a3:974b,2,0,2,2,0,0,0,0,0,0,2,0,0
192.168.1.3-->>67.227.186.229,3,3,0,3,0,0,0,0,0,2,3,0,0
192.168.1.3-->>23.55.62.147,5,5,0,5,0,0,0,0,0,4,5,0,0
2603:6080:ce03:b91a:cd66:ff8a:22a3:974b-->>2607:f8b0:4004:803::2016,2,0,2,2,0,0,0,0,0,0,2,0,0
